"Gads","Valsts dzelzceļa līnijas","..Tai skaitā platsliežu","....No tām elektrificētas","Valsts dzelzceļa līniju garums uz 1000 km² teritorijas, km","Valsts autoceļi, tūkst. km","..Tai skaitā ar cieto segumu","Pašvaldību autoceļi, tūkst. km","Valsts autoceļu garums uz 1000 km² teritorijas, km","Pašvaldību autoceļu garums uz 1000 km² teritorijas, km","Tramvaju līnijas","Trolejbusu līnijas","Maģistrālais naftas vads","Maģistrālais naftas produktu vads","Maģistrālie gāzes vadi"
"1990",2397,2364,271,37.1,20.6,18.8,38.9,319,602,162,215,437,329,1134
"1991",2397,2364,271,37.1,20.6,18.8,39.6,319,613,162,215,437,329,1134
"1992",2406,2373,271,37.3,20.6,18.8,39.6,318,613,162,215,437,329,1225
"1993",2413,2380,271,37.4,20.5,18.8,39.6,318,613,162,215,437,329,1238
"1994",2413,2380,271,37.4,20.4,18.8,...,316,...,162,217,437,329,1237
"1995",2413,2380,271,37.4,20.4,18.8,30.8,316,477,163,217,437,329,1237
"1996",2413,2380,271,37.4,20.4,18.8,31.2,316,483,162,218,437,329,1216
"1997",2413,2380,271,37.4,20.3,18.7,31.6,315,489,162,218,437,329,1216
"1998",2413,2380,270,37.4,20.3,18.7,32.4,315,502,162,218,437,329,1216
"1999",2413,2380,258,37.4,20.3,18.8,32.5,315,503,161,218,437,329,1216
"2000",2331,2298,258,36.1,20.3,20.3,33.0,315,511,162,218,437,329,1223
"2001",2305,2272,257,35.7,20.3,20.3,33.1,315,512,162,218,437,329,1244
"2002",2270,2236,257,35.1,20.3,20.3,32.9,314,509,162,218,437,329,1244
"2003",2270,2236,257,35.1,20.3,20.3,31.8,314,492,162,211,437,329,1244
"2004",2270,2236,257,35.1,20.2,20.2,31.5,313,487,162,212,437,329,1244
"2005",2270,2236,257,35.1,20.2,20.2,31.6,312,489,162,211,443,417,1281
"2006",2269,2236,257,35.1,20.2,20.2,31.4,312,487,166,211,443,417,1281
"2007",2265,2232,257,35.1,20.2,20.2,31.4,312,487,166,210,...,417,1281
"2008",2263,2230,257,35.1,20.2,20.2,31.1,312,482,166,210,...,417,1237
"2009",1884,1851,257,29.2,20.2,20.2,31.4,313,486,166,210,...,417,1240
"2010",1897,1864,257,29.4,20.2,20.2,30.7,313,475,167,210,...,417,1240
"2011",1865,1832,257,28.9,20.1,20.1,30.6,311,475,167,210,...,417,1242
"2012",1859,1826,250,28.8,20.1,20.1,30.5,311,471,167,209,...,417,1242
"2013",1859,1826,248,28.8,20.1,20.1,30.5,311,472,160,209,...,417,1242
"2014",1860,1826,251,28.8,20.2,20.2,30.4,312,471,157,204,...,417,1242
"2015",1860,1826,251,28.8,20.1,20.1,30.2,311,467,157,204,...,417,1193
"2016",1860,1826,251,28.8,20.1,20.1,30.2,311,467,161,204,...,417,1191
"2017",1860,1826,251,28.8,20.0,20.0,30.1,310,466,161,204,...,414,1188
