"Gads","Skaits"
"1967",2289645
"1968",2312795
"1969",2334443
"1970",2351903
"1971",2366424
"1972",2386353
"1973",2404995
"1974",2426642
"1975",2447730
"1976",2464529
"1977",2477449
"1978",2492697
"1979",2503145
"1980",2508761
"1981",2514640
"1982",2524202
"1983",2537958
"1984",2554063
"1985",2570030
"1986",2587716
"1987",2612068
"1988",2641097
"1989",2666567
"1990",2668140
"1991",2658161
"1992",2643000
"1993",2585675
"1994",2540904
"1995",2500580
"1996",2469531
"1997",2444912
"1998",2420789
"1999",2399248
"2000",2381715
"2001",2353384
"2002",2320956
"2003",2299390
"2004",2276520
"2005",2249724
"2006",2227874
"2007",2208840
"2008",2191810
"2009",2162834
"2010",2120504
"2011",2074605
"2012",2044813
"2013",2023825
"2014",2001468
"2015",1986096
"2016",1968957
"2017",1950116
"2018",1934379
